15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | DCLGEN file 3: DECLARE section 1 parsed SQL columns: 6
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | DCLGEN file 3: COBOL host field scan found 5 field(s).
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | DCLGEN file 3: SQL columns parsed: 6
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | DCLGEN file 3: COBOL host fields parsed: 5
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | DCLGEN file 3: merged DCLGEN columns: 6
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | DCLGEN file 3 parsed columns: 6
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | DCLGEN file 4 input length: 3035
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | DCLGEN file 4: resolved table name: DZEVEFTV
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | DCLGEN file 4: DECLARE section 1 parsed SQL columns: 16
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | DCLGEN file 4: COBOL host field scan found 16 field(s).
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | DCLGEN file 4: SQL columns parsed: 16
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | DCLGEN file 4: COBOL host fields parsed: 16
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | DCLGEN file 4: merged DCLGEN columns: 16
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | DCLGEN file 4 parsed columns: 16
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | DCLGEN total parsed columns: 95
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | Copybook file count: 1
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | Copybook 1: C:\S\S-Input\Copybook\Copybook.txt
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | Copybook 1 text length: 115952
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | Copybook total fields: 554
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | Copybook files: logical copybook lines parsed: 749
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | Copybook files: copybook fields parsed: 554 (data fields: 554, 88-condition names: 0, FILLER skipped: 190)
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | IDMS COBOL source file: C:\S\S-Input\Program\Retrieval\Retrieval.txt
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | IDMS COBOL source text length: 18700
15-09-2026 15:25:20 | INFO | idms_db2_retrieval_code_review | Derived target PROGRAM-ID: VMDZ4420
