24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | CSV/text decoded length: 80421
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | CSV/text sample: Cobol Recrd IDMS,Cobol Zone,IDMS Key,IDMS PIC Clause,Length of Field Bytes,Field end position,DB2 key,New DB2 Record ,New DB2_Field name,New DB2 DataType,Hopex Expression Type,Remarks,Relation,Reference Field Name (Copybook),Reference Field PIC Clause,Cross Application DB2 table,Cross Application DB2 Field Name,Cross Appln DB2 DataType,,Basetype\r\nVMBFC,   02  KY-VMBFC.,,,9,9,,,,,,,,,,,,,,\r\nVMBFC, 03 CT-RK-TGDSV,CALC,PIC X(4 ),4,13,Primary Key,DZMBFCTB,CT_RKTGDSC_479MBFC,CHAR(4),Identifiier(*) NR
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | CSV detected headers: ['Cobol Recrd IDMS', 'Cobol Zone', 'IDMS Key', 'IDMS PIC Clause', 'Length of Field Bytes', 'Field end position', 'DB2 key', 'New DB2 Record', 'New DB2_Field name', 'New DB2 DataType', 'Hopex Expression Type', 'Remarks', 'Relation', 'Reference Field Name (Copybook)', 'Reference Field PIC Clause', 'Cross Application DB2 table', 'Cross Application DB2 Field Name', 'Cross Appln DB2 DataType', '', 'Basetype']
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | CSV parsed useful rows: 840
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | Sheet Mapping populated Cobol Record IDMS rows: 835
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | Sheet Mapping populated source field rows: 630
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | Sheet Mapping populated DB2 table rows: 617
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | Sheet Mapping populated DB2 column rows: 560
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | Sheet Mapping useful source-to-target rows: 370
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | DCLGEN file count: 1
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | DCLGEN 1: C:\S\S-Input\DCLGen\DCLGENs_BFAS.txt
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | DCLGEN 1 text length: 12332
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | DCLGEN total columns: 89
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | DCLGEN input file count: 1
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | DCLGEN file 1 input length: 12332
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | DCLGEN file 1: resolved table name: DZBFASTV
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | DCLGEN file 1: DECLARE section 1 parsed SQL columns: 89
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | DCLGEN file 1: COBOL host field scan found 89 field(s).
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | DCLGEN file 1: SQL columns parsed: 89
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | DCLGEN file 1: COBOL host fields parsed: 89
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | DCLGEN file 1: merged DCLGEN columns: 89
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | DCLGEN file 1 parsed columns: 89
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | DCLGEN total parsed columns: 89
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | Copybook file count: 1
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | Copybook 1: C:\S\S-Input\Copybook\copybook1.txt
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | Copybook 1 text length: 1420
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | Copybook total fields: 5
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | Copybook files: logical copybook lines parsed: 6
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | Copybook files: copybook fields parsed: 5 (data fields: 5, 88-condition names: 0, FILLER skipped: 0)
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | IDMS COBOL source file: C:\S\S-Input\Program\Retrieval\Retrieval.cbl
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | IDMS COBOL source text length: 18206
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | Derived target PROGRAM-ID: VMDZ7200
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | LRF folder: C:\S\S-Input\LRF
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | LRF file count: 1
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | LRF 1: C:\S\S-Input\LRF\SUbSchemaLRF.txt
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | LRF 1 text length: 3746
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | LRF logical records parsed: 1
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | LRF logical records parsed: 1
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | LRF paths parsed for VMBTL03-R01: 6
24-09-2026 16:46:50 | INFO | idms_db2_retrieval_conversion | LRF logical records in scope for this program: 1 (VMBTL03-R01)
