15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Update SQL cleanup: resolved bare MOVE target through Sheet Mapping and DCLGEN.
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Mapping gap: source field 'TS-SYSTEM' in record VMBFAR has no deterministic DB2 column. Manual mapping required.
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Mapping gap: source field 'DA-CCYYMMDD' in record VMBFAR has no deterministic DB2 column. Manual mapping required.
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Mapping gap: source field 'DA-DD-MM-CCYY' in record VMBFAR has no deterministic DB2 column. Manual mapping required.
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Update SQL cleanup: rewrote MODIFY UPDATE to changed field plus update audit fields.
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Update structure feedback: moved DCLGEN includes into DB2 infrastructure.
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Update structure feedback: moved STOP RUN before timestamp paragraph.
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Procedure indent: normalized 82 statement line(s) to Area B.
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | START LOAD UPDATE SHARED INPUTS
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Sheet Mapping folder: C:\S\S-Input\Mapping Sheet
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Sheet Mapping selected: C:\S\S-Input\Mapping Sheet\Excel_Sheet_mapping.csv
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Sheet Mapping rows: 844
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Sheet Mapping file name: excel_sheet_mapping.csv
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Sheet Mapping file size bytes: 80950
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | CSV/text decoded length: 80950
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | CSV/text sample: Cobol Recrd IDMS,Cobol Zone,IDMS Key,IDMS PIC Clause,Length of Field Bytes,Field end position,DB2 key,New DB2 Record ,New DB2_Field name,New DB2 DataType,Hopex Expression Type,Remarks,Relation,Reference Field Name (Copybook),Reference Field PIC Clause,Cross Application DB2 table,Cross Application DB2 Field Name,Cross Appln DB2 DataType,,Basetype\r\nVMBFC,   02  KY-VMBFC.,,,9,9,,,,,,,,,,,,,,\r\nVMBFC, 03 CT-RK-TGDSV,CALC,PIC X(4 ),4,13,Primary Key,DZMBFCTB,CT_RKTGDSC_479MBFC,CHAR(4),Identifiier(*) NR
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | CSV detected headers: ['Cobol Recrd IDMS', 'Cobol Zone', 'IDMS Key', 'IDMS PIC Clause', 'Length of Field Bytes', 'Field end position', 'DB2 key', 'New DB2 Record', 'New DB2_Field name', 'New DB2 DataType', 'Hopex Expression Type', 'Remarks', 'Relation', 'Reference Field Name (Copybook)', 'Reference Field PIC Clause', 'Cross Application DB2 table', 'Cross Application DB2 Field Name', 'Cross Appln DB2 DataType', '', 'Basetype']
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | CSV parsed useful rows: 844
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Sheet Mapping populated Cobol Record IDMS rows: 839
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Sheet Mapping populated source field rows: 636
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Sheet Mapping populated DB2 table rows: 621
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Sheet Mapping populated DB2 column rows: 566
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Sheet Mapping useful source-to-target rows: 376
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN folder: C:\S\S-Input\DCLGen
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file count: 4
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN 1: C:\S\S-Input\DCLGen\DCLGENs_BEFF.txt
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN 1 text length: 3882
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN 2: C:\S\S-Input\DCLGen\DCLGENs_BFAR.txt
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN 2 text length: 7344
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN 3: C:\S\S-Input\DCLGen\DCLGENs_DZ01RSTV.txt
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN 3 text length: 2019
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN 4: C:\S\S-Input\DCLGen\DCLGENs_EVEF.txt
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN 4 text length: 3035
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN total columns: 95
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN input file count: 4
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 1 input length: 3882
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 1: resolved table name: DZBEFFTV
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 1: DECLARE section 1 parsed SQL columns: 22
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 1: COBOL host field scan found 22 field(s).
